    844 -15496    596
    852 -16284    572
    844 -16368    614
    844 -16350    586
    836 -16326    604
    852 -16352    684
    854 -16322    622
    874 -16350    676
    860 -16358    662
    848 -16366    644
    870 -16334    644
    822 -16366    628
    882 -16340    594
    850 -16354    674
    860 -16298    636
    868 -16348    614
    856 -16358    632
    852 -16336    648
    848 -16352    606
    864 -16306    608
    838 -16322    624
    840 -16352    610
    860 -16334    644
    862 -16344    606
    846 -16342    542
    872 -16328    616
    870 -16336    630
    868 -16336    592
    838 -16348    624
    846 -16356    630
    880 -16338    620
    832 -16374    638
    836 -16340    658
    842 -16348    620
    842 -16352    600
    854 -16350    626
    842 -16354    596
    846 -16332    654
    826 -16382    660
    868 -16346    694
    884 -16346    626
    818 -16328    624
    862 -16320    648
    854 -16316    616
    850 -16320    680
    870 -16342    642
    854 -16342    596
    866 -16352    640
    860 -16350    584
    834 -16306    600
    842 -16378    628
    868 -16328    630
    848 -16364    624
    832 -16354    610
    850 -16324    614
    870 -16350    610
    882 -16340    580
    840 -16324    654
    868 -16322    614
    872 -16338    638
    850 -16348    660
    862 -16358    608
    840 -16316    628
    824 -16338    628
    844 -16316    632
    838 -16348    606
    846 -16324    642
    850 -16364    624
    864 -16340    646
    852 -16340    554
    894 -16314    598
    852 -16338    606
    868 -16332    632
    848 -16346    624
    836 -16360    602
    870 -16354    638
    858 -16354    646
    854 -16354    654
    852 -16330    622
    856 -16350    588
    874 -16324    570
    838 -16336    606
    824 -16364    668
    836 -16336    590
    856 -16354    616
    858 -16356    616
    868 -16330    614
    840 -16350    568
    860 -16350    612
    882 -16350    636
    848 -16324    614
    876 -16344    614
    860 -16342    642
    844 -16384    588
    858 -16346    618
    852 -16350    620
    860 -16332    678
    866 -16316    604
    858 -16332    646
    886 -16340    628
    896 -16352    616
    864 -16344    640
    864 -16350    602
    854 -16370    608
    858 -16320    610
    826 -16334    630
    860 -16376    608
    868 -16358    590
    846 -16334    672
    856 -16350    634
    842 -16346    638
    848 -16332    658
    856 -16374    612
    854 -16344    594
    844 -16332    590
    846 -16372    600
    864 -16326    602
    840 -16344    602
    864 -16342    612
    870 -16372    648
    834 -16318    614
    856 -16320    574
    872 -16354    628
    904 -16326    586
    832 -16330    606
    852 -16336    620
    840 -16350    606
    870 -16380    604
    862 -16330    598
    816 -16336    576
    852 -16358    618
    892 -16358    610
    886 -16330    596
    868 -16346    600
    890 -16356    590
    848 -16330    602
    868 -16322    646
    830 -16360    580
    844 -16370    590
    884 -16330    600
    850 -16358    598
    850 -16356    650
    874 -16340    580
    864 -16336    638
    854 -16350    638
    866 -16336    634
    850 -16354    580
    860 -16336    622
    872 -16330    646
    862 -16326    562
    874 -16368    580
    854 -16328    626
    856 -16364    588
    844 -16336    620
    850 -16360    626
    854 -16322    676
    828 -16352    604
    886 -16328    634
    860 -16318    584
    862 -16354    646
    838 -16356    616
    870 -16350    604
    866 -16360    626
    860 -16350    586
    860 -16360    576
    866 -16342    630
    866 -16342    568
    890 -16336    642
    882 -16352    630
    870 -16346    604
    862 -16338    562
    876 -16322    640
    836 -16344    620
    870 -16358    598
    864 -16322    592
    884 -16360    616
    852 -16350    608
    848 -16358    608
    858 -16344    638
    830 -16362    594
    850 -16338    598
    850 -16346    610
    846 -16332    602
    858 -16326    558
    844 -16356    616
    846 -16346    566
    860 -16340    624
    836 -16354    616
    832 -16330    580
    852 -16338    574
    874 -16328    602
    876 -16358    596
    888 -16348    588
    880 -16320    590
    880 -16330    614
    896 -16358    600
    852 -16324    622
    852 -16368    600
    870 -16330    594
    826 -16318    608
    856 -16342    584
    890 -16334    620
    824 -16342    608
    868 -16350    672
    856 -16336    554
    860 -16364    600
    850 -16338    608
    860 -16330    624
    876 -16334    626
    856 -16350    644
    878 -16352    584
    874 -16344    622
    826 -16352    622
    842 -16344    556
    856 -16330    642
    862 -16344    600
    884 -16364    590
    848 -16342    640
    856 -16358    578
    878 -16322    634
    868 -16336    602
    834 -16374    606
    866 -16372    580
    844 -16352    590
    840 -16352    600
    844 -16362    588
    870 -16336    592
    848 -16344    612
    828 -16328    588
    858 -16344    610
    876 -16348    604
    872 -16362    646
    848 -16374    656
    840 -16320    590
    866 -16346    594
    878 -16324    608
    872 -16342    616
    838 -16346    616
    868 -16344    570
    850 -16340    604
    834 -16334    624
    850 -16376    608
    862 -16308    632
    860 -16352    596
    852 -16360    594
    834 -16342    580
    858 -16382    642
    872 -16368    656
    836 -16346    594
    862 -16376    614
    840 -16372    628
    834 -16348    604
    846 -16322    664
    850 -16326    608
    876 -16362    600
    874 -16312    604
    850 -16378    600
    814 -16338    576
    832 -16362    608
    846 -16380    596
    838 -16358    652
    830 -16338    622
    856 -16334    612
    870 -16326    588
    850 -16336    590
    866 -16368    582
    858 -16340    656
    854 -16350    594
    856 -16348    586
    868 -16338    612
    862 -16358    620
    836 -16318    616
    876 -16326    656
    844 -16330    602
    876 -16358    636
    894 -16308    598
    858 -16370    590
    818 -16332    580
    838 -16356    610
    838 -16352    640
    822 -16332    578
    840 -16344    622
    818 -16354    644
    832 -16350    578
    878 -16338    622
    850 -16336    644
    846 -16346    622
    864 -16332    610
    868 -16390    632
    874 -16360    602
    842 -16336    554
    854 -16340    610
    848 -16338    628
    862 -16380    606
    864 -16344    620
    818 -16330    612
    906 -16372    644
    830 -16326    626
    848 -16336    600
    886 -16332    588
    854 -16316    566
    870 -16326    640
    850 -16330    582
    854 -16380    556
    856 -16376    598
    868 -16358    588
    866 -16346    628
    892 -16358    650
    880 -16354    590
    860 -16326    632
    860 -16348    654
    874 -16348    626
    850 -16360    646
    834 -16320    602
    852 -16364    634
    840 -16322    586
    834 -16328    598
    860 -16340    562
    870 -16346    612
    866 -16338    598
    858 -16370    598
    826 -16320    632
    860 -16344    610
    844 -16334    568
    874 -16368    582
    834 -16332    598
    848 -16340    626
    840 -16324    584
    846 -16348    648
    872 -16364    626
    878 -16366    652
    868 -16352    656
    864 -16340    620
    844 -16356    662
    866 -16352    578
    828 -16314    660
    838 -16322    614
    878 -16320    642
    842 -16340    586
    840 -16328    586
    834 -16328    610
    862 -16342    636
    862 -16368    622
    850 -16334    576
    842 -16354    626
    894 -16348    598
    856 -16324    632
    834 -16334    648
    860 -16346    602
    852 -16346    614
    848 -16354    568
    862 -16332    642
    830 -16356    650
    826 -16332    570
    868 -16340    646
    892 -16350    624
    902 -16342    630
    842 -16342    584
    840 -16342    550
    866 -16348    610
    868 -16332    602
    886 -16320    608
    882 -16346    666
    878 -16338    570
    902 -16354    626
    850 -16358    680
    840 -16322    614
    844 -16314    622
    846 -16336    632
    862 -16328    572
    842 -16334    604
    850 -16350    582
    846 -16338    626
    838 -16322    624
    856 -16362    588
    860 -16312    598
    826 -16338    602
    856 -16338    636
    846 -16318    650
    884 -16346    632
    862 -16340    580
    880 -16336    600
    868 -16366    636
    830 -16360    604
    856 -16348    612
    864 -16350    588
    852 -16362    656
    862 -16380    612
    884 -16344    610
    868 -16326    646
    838 -16370    568
    848 -16356    654
    850 -16366    612
    832 -16330    606
    858 -16360    602
    866 -16384    614
    854 -16330    640
    878 -16328    626
    882 -16342    560
    878 -16328    672
    882 -16330    652
    876 -16306    630
    856 -16344    664
    838 -16350    608
    898 -16328    662
    858 -16322    578
    830 -16362    628
    832 -16330    640
    880 -16354    604
    860 -16330    616
    860 -16332    654
    880 -16334    612
    868 -16334    586
    840 -16360    624
    846 -16338    638
    872 -16362    602
    874 -16358    626
    884 -16336    582
    872 -16356    656
    902 -16334    642
    842 -16320    612
    854 -16334    614
    880 -16338    598
    838 -16344    674
    872 -16350    660
    852 -16326    648
    842 -16344    672
    846 -16370    600
    860 -16364    608
    876 -16338    634
    840 -16352    608
    842 -16350    604
    854 -16346    602
    854 -16362    604
    848 -16352    634
    848 -16362    596
    836 -16348    568
    854 -16374    676
    824 -16332    630
    848 -16406    630
    844 -16394    606
    870 -16334    558
    862 -16324    642
    874 -16354    608
    846 -16346    564
    868 -16336    640
    874 -16344    602
    862 -16358    574
    860 -16370    628
    854 -16358    586
    872 -16348    650
    864 -16350    630
    864 -16338    604
    838 -16326    612
    852 -16366    582
    850 -16330    648
    844 -16318    664
    850 -16324    590
    866 -16340    584
    908 -16320    578
    908 -16360    590
    900 -16350    586
    870 -16350    558
    838 -16336    632
    852 -16336    624
    860 -16362    600
    848 -16326    594
    868 -16350    580
    854 -16370    626
    856 -16374    640
    872 -16372    562
    892 -16352    608
    872 -16352    610
    886 -16350    564
    846 -16352    634
    844 -16334    568
    854 -16356    554
    856 -16338    612
    860 -16334    602
    844 -16336    634
    824 -16380    588
    852 -16342    642
    856 -16342    626
    876 -16332    562
    856 -16318    584
    848 -16358    612
    844 -16320    548
    882 -16334    636
    862 -16346    634
    860 -16322    538
    862 -16330    630
    848 -16358    576
    872 -16336    606
    838 -16342    622
    890 -16354    560
    826 -16330    614
    850 -16318    628
    884 -16354    608
    866 -16348    610
    856 -16362    638
    884 -16348    644
    874 -16308    632
    838 -16350    616
    876 -16358    610
    832 -16352    612
    842 -16344    622
    862 -16346    624
    872 -16334    592
    864 -16340    622
    874 -16362    668
    824 -16334    586
    862 -16336    658
    884 -16362    620
    876 -16334    568
    836 -16322    632
    866 -16356    642
    852 -16330    562
    848 -16338    600
    876 -16334    582
    858 -16322    604
    864 -16350    622
    834 -16366    646
    872 -16364    630
    862 -16352    618
    864 -16336    612
    870 -16346    638
    860 -16342    592
    890 -16332    608
    860 -16354    606
    868 -16318    566
    880 -16354    640
    832 -16368    572
    858 -16350    590
    866 -16364    646
    840 -16374    592
    850 -16340    588
    898 -16326    636
    868 -16352    608
    872 -16318    650
    866 -16368    632
    854 -16346    566
    850 -16338    624
    886 -16360    602
    864 -16332    620
    846 -16328    622
    902 -16342    592
    858 -16352    612
    864 -16376    582
    822 -16330    584
    874 -16330    666
    876 -16334    586
    884 -16364    688
    856 -16358    628
    868 -16368    562
    858 -16318    602
    888 -16346    590
    872 -16332    620
    830 -16340    560
    876 -16350    572
    866 -16314    608
    876 -16360    590
    872 -16350    544
    872 -16326    618
    844 -16352    636
    848 -16336    608
    858 -16354    628
    858 -16356    536
    852 -16330    606
    872 -16342    594
    834 -16340    560
    840 -16344    652
    874 -16332    594
    836 -16334    614
    876 -16326    650
    878 -16342    590
    884 -16310    606
    884 -16364    638
    870 -16334    560
    864 -16336    706
    876 -16382    580
    864 -16370    638
    820 -16334    594
    856 -16364    572
    876 -16332    642
    862 -16360    650
    850 -16368    578
    844 -16350    618
    850 -16350    632
    840 -16344    610
    844 -16354    624
    854 -16388    584
    842 -16340    596
    844 -16362    616
    872 -16352    652
    878 -16362    630
    854 -16358    550
    860 -16308    616
    846 -16350    646
    866 -16358    570
    820 -16326    630
    848 -16338    604
    840 -16364    602
    874 -16360    648
    874 -16378    626
    874 -16342    616
    838 -16336    648
    850 -16370    590
    832 -16326    626
    850 -16332    614
    848 -16370    552
    868 -16368    610
    814 -16350    536
    860 -16342    586
    876 -16346    640
    886 -16368    612
    862 -16324    652
    868 -16332    628
