   1070    -56 -14852
   1140    -62 -15894
   1108    -64 -15946
   1122    -54 -15930
   1142    -36 -15946
   1124    -22 -15960
   1126    -62 -15966
   1084    -66 -15920
   1078    -64 -15936
   1098    -66 -15982
   1112     -6 -15958
   1108    -62 -15976
   1128    -76 -15928
   1132    -62 -15962
   1148    -34 -15990
   1094    -94 -15992
   1128    -72 -15954
   1106    -68 -15958
   1124    -36 -15954
   1116    -26 -16006
   1100    -56 -15944
   1106    -48 -16008
   1086    -22 -15948
   1114    -34 -15954
   1100    -56 -15958
   1070    -42 -15970
   1134    -64 -15974
   1106    -44 -15972
   1112    -40 -15916
   1122    -98 -15912
   1106    -86 -15968
   1100    -34 -15912
   1146    -38 -15950
   1098    -74 -15990
   1098    -38 -15948
   1076   -100 -15958
   1110    -42 -15974
   1124    -46 -15942
   1112    -40 -15952
   1096    -56 -15938
   1116    -30 -15922
   1096    -34 -15920
   1108    -54 -15974
   1126    -56 -15966
   1110    -46 -15980
   1112    -48 -15948
   1138    -48 -15896
   1134    -56 -15954
   1104    -50 -15964
   1068    -70 -15974
   1114    -74 -15980
   1128    -66 -15938
   1126    -28 -15956
   1088    -50 -15930
   1080    -30 -15962
   1084    -64 -15904
   1118    -52 -15934
   1090    -46 -15936
   1078    -64 -15948
   1106    -14 -15966
   1110    -40 -15962
   1096    -36 -15894
   1098    -42 -15940
   1094    -32 -15930
   1106    -48 -15962
   1130    -50 -15950
   1140    -80 -15964
   1098    -68 -15976
   1106    -42 -15960
   1104    -64 -15956
   1096    -40 -15972
   1104    -68 -15946
   1144    -58 -15934
   1094    -62 -15926
   1106    -56 -15986
   1112    -28 -15936
   1130    -82 -15926
   1112    -26 -15922
   1100    -50 -15966
   1096    -58 -15960
   1134    -46 -15942
   1086    -58 -15962
   1098    -66 -15954
   1136    -24 -15960
   1126    -36 -15948
   1096    -22 -15984
   1134    -38 -15986
   1126    -66 -16002
   1140    -34 -15928
   1134    -54 -15964
   1140    -30 -15994
   1100    -68 -15936
   1084    -44 -15960
   1116    -28 -15934
   1126    -46 -15984
   1082    -50 -15972
   1118    -56 -15962
   1124    -68 -16000
   1122    -50 -15960
   1090    -42 -15990
   1088    -68 -15996
   1138    -56 -15948
   1106    -36 -15990
   1114    -32 -15988
   1156    -42 -15962
   1110     -6 -15952
   1124    -28 -15938
   1126    -36 -15950
   1106    -52 -15974
   1072    -38 -15952
   1136    -24 -15968
   1118    -48 -15920
   1118    -54 -16004
   1108    -10 -15962
   1120    -24 -15964
   1090    -50 -15944
   1066    -70 -15950
   1092    -34 -15962
   1148    -56 -15938
   1130    -42 -15954
   1108    -58 -16004
   1104    -48 -15940
   1136    -42 -15948
   1108    -50 -15934
   1108    -52 -15946
   1120    -62 -15962
   1084    -50 -15926
   1088    -50 -16022
   1102    -68 -15954
   1120    -50 -16010
   1108    -50 -15906
   1112    -70 -15978
   1104    -76 -15934
   1122    -28 -15970
   1100    -74 -15946
   1084    -74 -15938
   1088    -56 -15954
   1078    -50 -15968
   1102    -42 -15924
   1130    -52 -15948
   1112    -56 -15956
   1080    -22 -15942
   1102    -44 -15994
   1116    -60 -15932
   1110    -58 -15948
   1092    -26 -15962
   1118    -52 -15946
   1136    -44 -15964
   1080    -52 -15966
   1056    -44 -15938
   1092    -54 -15956
   1126    -56 -15936
   1122    -56 -15988
   1116    -28 -15948
   1126    -50 -15996
   1104    -52 -15910
   1112    -64 -15982
   1102    -32 -15986
   1102    -60 -15960
   1156    -66 -15934
   1126    -36 -16002
   1134    -72 -15926
   1150    -62 -15944
   1102    -22 -15944
   1114    -64 -15926
   1136    -28 -15966
   1104    -42 -15950
   1124    -44 -15962
   1122    -60 -15980
   1134    -68 -15972
   1092    -74 -15974
   1094    -70 -15968
   1118    -54 -15924
   1128    -52 -15958
   1116    -66 -15984
   1128    -58 -15968
   1096    -52 -15958
   1104    -66 -15976
   1096    -76 -15976
   1122    -54 -15950
   1150    -90 -16004
   1114    -20 -15992
   1126    -60 -16000
   1118    -78 -15938
   1102    -50 -16008
   1104    -64 -15984
   1132    -50 -15958
   1096    -52 -15944
   1144    -72 -15902
   1102    -42 -15972
   1102    -34 -15952
   1108    -50 -15954
   1068    -52 -15954
