  16640   -112    104
  17134   -118    656
  17170   -140    646
  17168   -126    698
  17180   -132    658
  17164    -98    644
  17196   -140    680
  17150   -128    674
  17200   -154    632
  17182   -108    648
  17182   -108    668
  17182    -78    642
  17200   -114    708
  17220   -144    656
  17174   -138    642
  17166   -120    634
  17154   -136    648
  17204   -108    672
  17158   -130    642
  17156   -118    638
  17134   -124    652
  17174   -144    700
  17172   -122    662
  17180   -100    580
  17182   -128    648
  17196   -122    630
  17150   -132    660
  17214   -108    650
  17190   -152    644
  17216   -124    670
  17170    -78    646
  17168   -144    628
  17180   -120    648
  17198   -130    636
  17184   -104    630
  17194   -116    618
  17158   -116    646
  17172   -128    654
  17192   -134    622
  17152   -124    650
  17182   -118    632
  17170   -122    614
  17184   -102    638
  17158   -126    668
  17168   -120    676
  17168    -96    610
  17206   -140    674
  17172   -128    642
  17180   -112    578
  17146    -86    584
  17178    -88    630
  17194   -140    614
  17190   -136    626
  17184   -126    646
  17170   -146    618
  17146   -126    618
  17176   -128    664
  17164   -110    650
  17182   -126    606
  17190   -132    646
  17184    -98    682
  17180    -92    630
  17180   -126    666
  17160   -122    632
  17172   -132    628
  17148   -124    620
  17160    -90    670
  17186    -72    664
  17184   -124    624
  17164   -112    616
  17170   -100    644
  17174   -116    594
  17150    -98    568
  17184   -100    650
  17148    -76    644
  17178    -80    678
  17164   -112    686
  17134   -106    634
  17184   -116    656
  17186   -116    666
  17152    -94    636
  17178   -104    616
  17160   -126    638
  17188   -136    676
  17194   -130    598
  17164   -148    652
  17176   -132    628
  17188   -132    618
  17182   -134    678
  17206   -100    662
  17174    -92    628
  17196   -102    638
  17172   -114    630
  17160   -100    616
  17198   -116    596
  17162   -116    642
  17172   -110    662
  17164   -120    644
  17154   -112    606
  17196   -132    674
  17184   -126    620
  17148   -110    676
  17208   -120    670
  17170   -112    644
  17174   -122    622
  17132   -122    664
  17170   -144    686
  17174   -132    684
  17190   -108    594
  17142   -108    622
  17154   -140    610
  17204   -106    638
  17228   -108    628
  17182    -94    668
  17176   -102    678
  17174   -106    642
  17190   -136    638
  17150   -100    602
  17194   -142    640
  17122   -118    632
  17200   -138    666
  17172   -118    646
  17198    -92    620
  17150   -122    616
  17196   -126    606
  17154   -140    630
  17194   -134    642
  17206   -106    674
  17192   -144    676
  17214   -102    640
  17176   -146    634
  17166    -90    600
  17208   -142    654
  17168   -132    646
  17190   -128    660
  17136    -80    622
  17210   -116    596
  17162    -86    658
  17180   -142    676
  17190   -112    628
  17178   -132    638
  17158    -78    624
  17212   -130    618
  17180   -110    612
  17202   -126    628
  17168   -128    678
  17166   -140    674
  17176   -130    626
  17148   -114    618
  17162   -126    608
  17154   -132    670
  17182   -134    622
  17154    -98    660
  17228   -134    638
  17148   -108    614
  17180   -108    620
  17174    -82    710
  17162   -144    644
  17172   -128    654
  17154   -100    662
  17164    -94    638
  17186   -148    638
